0.508127,0.955504,6.06724;0.239065,0.825707,0.0433809;0.10694,0.682626,0.040461;0.0982569,0.552718,0.0301797;0.132171,0.454325,0.0155977;0.2713,0.53923,-0.0590828;0.326152,0.322686,-0.125077;0.369105,0.201279,-0.155329;0.403778,0.107522,-0.167514;0.457386,0.543977,-0.113957;0.51314,0.308853,-0.177221;0.549423,0.168125,-0.19847;0.580224,0.0629352,-0.206276;0.644858,0.576737,-0.162995;0.685537,0.353782,-0.218601;0.709892,0.224838,-0.23284;0.724324,0.126389,-0.233487;0.826066,0.633592,-0.204999;0.853539,0.445668,-0.253402;0.853811,0.337251,-0.256513;0.852495,0.245374,-0.246579;
0.297443,0.966755,1.05022;0.0971706,0.795861,0.0208398;0.0345032,0.62027,0.00221063;0.0753703,0.490504,-0.0231822;0.168571,0.399126,-0.053162;0.270265,0.50161,-0.0696373;0.414718,0.306014,-0.138444;0.506842,0.194378,-0.178183;0.575869,0.104868,-0.201533;0.438747,0.53372,-0.127716;0.59693,0.314935,-0.182949;0.687876,0.185411,-0.21316;0.754067,0.0835236,-0.234834;0.601107,0.5953,-0.182447;0.741902,0.386846,-0.23325;0.816258,0.259631,-0.252812;0.861666,0.159178,-0.265069;0.756427,0.679058,-0.23354;0.869845,0.498868,-0.280158;0.916207,0.393908,-0.282375;0.947626,0.304561,-0.277251;
0.771215,0.967533,-4.13358;0.420816,0.877781,0.0199177;0.209644,0.739485,0.00501371;0.129073,0.609464,-0.019651;0.113166,0.50257,-0.0477151;0.300232,0.582173,-0.0698164;0.250746,0.363523,-0.149509;0.231318,0.236944,-0.190554;0.213111,0.139614,-0.211065;0.477404,0.559262,-0.124911;0.416188,0.31677,-0.191621;0.38358,0.171199,-0.223189;0.359476,0.05991,-0.241886;0.673349,0.563432,-0.178497;0.602031,0.336143,-0.237493;0.563507,0.200855,-0.266566;0.526707,0.100575,-0.280469;0.883817,0.586362,-0.228839;0.83462,0.401867,-0.287531;0.780959,0.286736,-0.308155;0.733435,0.19228,-0.312506;
0.0394538,0.933374,1.02204;-0.0501095,0.737449,0.0320186;-0.00460146,0.557183,0.0167049;0.109867,0.435523,-0.00735873;0.237606,0.356173,-0.0379988;0.262812,0.467306,-0.0761028;0.494235,0.292945,-0.150481;0.636209,0.196095,-0.192858;0.746197,0.121111,-0.215095;0.420341,0.523114,-0.141334;0.684042,0.333486,-0.208123;0.827707,0.219818,-0.233187;0.93538,0.12902,-0.244174;0.555922,0.606249,-0.200886;0.791129,0.418101,-0.259383;0.919015,0.307157,-0.259165;1.01168,0.218261,-0.250167;0.670122,0.713746,-0.256346;0.858947,0.545229,-0.296096;0.943435,0.450299,-0.273839;1.00352,0.376569,-0.246391;
0.881215,0.916892,3.97763;0.545972,0.873512,-0.005927;0.30655,0.770939,-0.0415061;0.178827,0.660851,-0.0817137;0.122767,0.560138,-0.124348;0.337297,0.601045,-0.103812;0.201497,0.400668,-0.192736;0.130097,0.282231,-0.243707;0.0729183,0.188465,-0.27363;0.493346,0.557547,-0.153768;0.347805,0.339281,-0.230425;0.256035,0.205299,-0.271274;0.185405,0.0992765,-0.297294;0.676035,0.537221,-0.202836;0.532506,0.330723,-0.270323;0.433211,0.205041,-0.30084;0.35125,0.107767,-0.316937;0.879016,0.536606,-0.250806;0.768455,0.364231,-0.314779;0.676172,0.262749,-0.3328;0.598144,0.177062,-0.335231;
-0.0308128,0.80908,1.52085;-0.0641561,0.637492,-0.00970651;0.00936198,0.475875,-0.0569889;0.14747,0.371877,-0.103646;0.311461,0.313958,-0.154706;0.296449,0.437938,-0.146283;0.587204,0.30517,-0.237178;0.767608,0.233133,-0.287547;0.905356,0.177783,-0.312979;0.41426,0.514324,-0.193484;0.748775,0.374551,-0.266127;0.935756,0.293091,-0.28699;1.07224,0.230271,-0.294079;0.506772,0.615309,-0.235841;0.826534,0.472055,-0.292809;1.0073,0.390344,-0.282814;1.1353,0.329256,-0.266861;0.575603,0.734188,-0.277348;0.833855,0.603118,-0.316013;0.958947,0.528547,-0.288609;1.04466,0.473018,-0.255793;
0.967586,0.809783,9.90695;0.669237,0.833711,0.00451668;0.416625,0.781589,-0.0275522;0.261666,0.699112,-0.0659391;0.170315,0.616616,-0.109121;0.360963,0.623521,-0.101307;0.155029,0.446699,-0.178744;0.0473653,0.343226,-0.217087;-0.0348324,0.264394,-0.236759;0.49381,0.55843,-0.154832;0.266206,0.369168,-0.230716;0.125281,0.25587,-0.271632;0.00978609,0.167947,-0.294624;0.660407,0.510025,-0.205073;0.444399,0.328784,-0.275711;0.303471,0.222893,-0.311972;0.183325,0.142608,-0.329293;0.849715,0.478311,-0.251014;0.682672,0.329427,-0.310313;0.562794,0.248244,-0.325387;0.454014,0.180302,-0.325912;
0.501086,0.933115,1.01519;0.249591,0.826386,-0.0283363;0.157562,0.672365,-0.0535949;0.152305,0.535687,-0.0784243;0.117139,0.428519,-0.107984;0.354,0.546803,-0.0978456;0.366349,0.326969,-0.186001;0.388478,0.197311,-0.236718;0.415359,0.0993963,-0.262915;0.52545,0.546713,-0.129842;0.536496,0.317625,-0.206816;0.549441,0.169165,-0.254775;0.567378,0.0578751,-0.280702;0.692674,0.57602,-0.164286;0.701859,0.353865,-0.235005;0.713973,0.213165,-0.280984;0.728177,0.106955,-0.302942;0.85327,0.626178,-0.199026;0.871127,0.448097,-0.265034;0.867117,0.333107,-0.295009;0.865956,0.236301,-0.304474;
0.289004,0.923106,8.96916;0.103525,0.784973,-0.0480182;0.0820639,0.622771,-0.0871817;0.128731,0.491828,-0.123403;0.142917,0.37939,-0.16308;0.339285,0.520621,-0.11885;0.45839,0.310961,-0.217517;0.538925,0.188953,-0.278063;0.606188,0.0974698,-0.310974;0.503091,0.547934,-0.145741;0.624931,0.332338,-0.231866;0.707779,0.191892,-0.287728;0.774885,0.0838346,-0.319094;0.649404,0.601147,-0.176502;0.761578,0.392117,-0.251378;0.840257,0.259793,-0.299333;0.902224,0.158416,-0.323304;0.782369,0.673722,-0.209772;0.877756,0.506583,-0.279977;0.922411,0.397149,-0.310075;0.959744,0.307397,-0.318771;
0.692014,0.902069,8.4583;0.401144,0.849729,-0.0360226;0.242714,0.718941,-0.0688528;0.179719,0.59017,-0.100012;0.104534,0.490749,-0.137162;0.377442,0.559125,-0.118461;0.294491,0.349538,-0.210889;0.258844,0.225479,-0.265256;0.239806,0.128615,-0.295341;0.543114,0.536439,-0.150779;0.447903,0.315103,-0.231435;0.39291,0.172521,-0.283654;0.354637,0.0601631,-0.313852;0.715122,0.543843,-0.18488;0.632859,0.324234,-0.26051;0.581734,0.186099,-0.309778;0.54372,0.0787197,-0.334959;0.888907,0.572221,-0.219172;0.832139,0.398853,-0.289497;0.778559,0.288871,-0.320875;0.733688,0.19516,-0.331921;
