0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.664657,0.479683,-0.0110473;0.639902,0.480962,-0.0213353;0.618773,0.485166,-0.0323028;0.601562,0.49166,-0.0422831;0.642619,0.455428,-0.013022;0.629501,0.446888,-0.0271812;0.636667,0.461136,-0.035721;0.644036,0.470976,-0.0396546;0.656284,0.44875,-0.013807;0.643548,0.438762,-0.028209;0.64849,0.454758,-0.0322076;0.655472,0.464272,-0.0326724;0.67109,0.445151,-0.0164569;0.659698,0.431749,-0.0278073;0.660384,0.445737,-0.0260025;0.664809,0.456561,-0.0224414;0.686222,0.44313,-0.0203296;0.679417,0.430876,-0.0259851;0.674024,0.438666,-0.0239005;0.672469,0.447003,-0.0212525;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.548029,0.300736,-0.00300844;0.545468,0.31262,-0.00648421;0.542641,0.322551,-0.011356;0.540143,0.330019,-0.0156958;0.57106,0.312494,-0.000945644;0.57496,0.320275,-0.00744386;0.566427,0.315555,-0.010981;0.561963,0.310364,-0.0123039;0.577635,0.308217,-0.00316758;0.581216,0.315632,-0.00936934;0.570943,0.309352,-0.0111893;0.567968,0.304225,-0.011403;0.583974,0.302939,-0.00631781;0.589812,0.311388,-0.0124265;0.579535,0.306304,-0.0106788;0.576011,0.300787,-0.00809742;0.590202,0.296302,-0.00983428;0.598373,0.302539,-0.0128332;0.590497,0.301648,-0.00961073;0.58528,0.298922,-0.0063512;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.468424,0.525245,-0.00378149;0.454009,0.530595,-0.00439643;0.442899,0.536839,-0.00389765;0.434138,0.540918,-0.00290369;0.457134,0.544415,-0.00301304;0.441265,0.550626,-0.00301295;0.432633,0.55189,-0.00298707;0.425899,0.552659,-0.00284029;0.462462,0.54824,-0.000437553;0.446437,0.553698,0.000179032;0.437432,0.553016,0.00070811;0.431031,0.551553,0.000961565;0.467259,0.549483,0.00206712;0.453621,0.554696,0.00322439;0.445788,0.553717,0.00420265;0.440438,0.551712,0.00454306;0.470589,0.549133,0.0041847;0.459947,0.55378,0.00558843;0.453185,0.553384,0.00710505;0.448737,0.551776,0.00825861;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.549769,0.515668,-0.00917864;0.516763,0.51394,-0.0147719;0.490791,0.51434,-0.0210196;0.470556,0.515786,-0.0251499;0.506815,0.495495,0.00102727;0.490055,0.494322,-0.0123558;0.507059,0.501068,-0.0208356;0.519736,0.505642,-0.0239071;0.517961,0.489334,0.000867954;0.507724,0.490494,-0.0115183;0.528478,0.498478,-0.0152086;0.538865,0.501235,-0.014455;0.533546,0.484252,-0.00187028;0.522482,0.484422,-0.0119418;0.538947,0.49248,-0.00804958;0.548321,0.495368,-0.00241011;0.551077,0.480362,-0.00583925;0.538161,0.478244,-0.00993764;0.544976,0.48516,-0.00449217;0.551321,0.488429,0.00170712;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.461499,0.535721,-0.0144622;0.417191,0.538464,-0.0263839;0.38511,0.548472,-0.0394775;0.362373,0.560108,-0.0503771;0.409532,0.488741,-0.00582096;0.386056,0.48443,-0.0270227;0.406828,0.50166,-0.0387905;0.422085,0.505779,-0.0446156;0.428486,0.474635,-0.00949;0.402898,0.47038,-0.0316608;0.424421,0.494058,-0.0358927;0.43774,0.495246,-0.0342029;0.452337,0.465117,-0.0169908;0.427775,0.461662,-0.0367798;0.446272,0.485263,-0.0290856;0.458653,0.486332,-0.0196186;0.478987,0.458124,-0.0261779;0.458258,0.457782,-0.0348835;0.466242,0.47775,-0.0262725;0.475618,0.481651,-0.0178515;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.280625,0.821579,-0.0180667;0.258949,0.832802,-0.0235851;0.246217,0.844356,-0.0248006;0.236254,0.853618,-0.0245452;0.266946,0.853708,-0.0206704;0.235998,0.865526,-0.0271087;0.215267,0.866627,-0.03018;0.200588,0.865457,-0.0306513;0.274327,0.858402,-0.0111658;0.23974,0.86813,-0.0172952;0.217573,0.86632,-0.0196482;0.203472,0.862374,-0.019812;0.277413,0.85975,-0.00242263;0.245592,0.868213,-0.0070115;0.225361,0.865732,-0.00936011;0.212853,0.861408,-0.00969821;0.277033,0.85929,0.00507028;0.253579,0.868488,0.0013488;0.237606,0.86784,-0.000237814;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.435854,0.410628,-0.00723861;0.439943,0.43159,-0.0110966;0.444149,0.447131,-0.0166644;0.442358,0.458757,-0.0207282;0.487096,0.435013,0.00544722;0.504065,0.444443,-0.00554778;0.493107,0.43921,-0.0124938;0.485052,0.434474,-0.0152334;0.50074,0.427851,0.00352381;0.518894,0.436813,-0.00616931;0.501567,0.429473,-0.00886156;0.494231,0.425377,-0.00784503;0.51148,0.419534,-0.000922464;0.529692,0.429015,-0.0105536;0.511628,0.422705,-0.00650392;0.502924,0.418208,-0.000572079;0.519589,0.410055,-0.00641679;0.535773,0.419093,-0.00931014;0.522279,0.4161,-0.00239527;0.512869,0.412753,0.00445575;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.180647,0.658434,-0.00951559;0.172073,0.675927,-0.017002;0.163108,0.689284,-0.0247094;0.156404,0.699145,-0.0302817;0.205697,0.69223,-0.0090529;0.198248,0.70219,-0.0216251;0.188721,0.687401,-0.0274845;0.192802,0.680984,-0.0303704;0.221634,0.68584,-0.0101171;0.211865,0.694606,-0.0218631;0.199343,0.678803,-0.0239048;0.206189,0.674198,-0.0241846;0.235478,0.677727,-0.0128172;0.227126,0.688374,-0.0242057;0.212768,0.674215,-0.0188512;0.217735,0.668268,-0.0137574;0.24847,0.668216,-0.016358;0.241102,0.67973,-0.0224957;0.228209,0.670666,-0.016127;0.2293,0.664135,-0.0102265;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.596255,0.590391,0.000319621;0.599466,0.563153,-0.00141885;0.601851,0.542355,-0.00388158;0.609644,0.527839,-0.0061608;0.569066,0.549758,-0.00698885;0.533037,0.549663,-0.00995764;0.537554,0.560238,-0.0108682;0.548652,0.564885,-0.0114162;0.555534,0.55981,-0.0111608;0.523742,0.561927,-0.0142427;0.531834,0.571522,-0.0146355;0.543294,0.575006,-0.0160552;0.542591,0.572848,-0.0149355;0.512201,0.570648,-0.0196844;0.519831,0.579292,-0.0185109;0.532828,0.583659,-0.0184211;0.531429,0.587212,-0.0184321;0.500863,0.580334,-0.0230203;0.481527,0.577464,-0.023063;0.466019,0.572832,-0.0231127;
0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0.750959,0.404277,-0.000864788;0.765373,0.370073,-0.00385874;0.77801,0.34086,-0.00791394;0.801215,0.321961,-0.0130397;0.723629,0.342297,-0.0130873;0.685138,0.346058,-0.0152042;0.690716,0.362897,-0.0165485;0.703312,0.376935,-0.0173337;0.695865,0.349878,-0.0181687;0.664114,0.359607,-0.0202307;0.671603,0.375341,-0.0246806;0.683469,0.387121,-0.0307419;0.669959,0.364974,-0.021691;0.641599,0.371476,-0.0304363;0.649296,0.389742,-0.0336585;0.663256,0.403358,-0.0366926;0.646744,0.383068,-0.0243098;0.611658,0.365253,-0.033753;0.58692,0.35488,-0.0345692;0.565963,0.344334,-0.0349999;
